Civ_Draft,draft_host,draft_guest,Preset,player,executingPlayer,actionType,Civ,isRandomlyChosen,offset,action,PickNo,FirstPick,GlobalBan,Picker
AeJVK,Lyx,LobodeLaNieve,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Turks,FALSE,8901,NA,1,0,1,EMA_003
AeJVK,Lyx,LobodeLaNieve,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Hindustanis,FALSE,19797,NA,2,0,1,LobodeLaNieve
AeJVK,Lyx,LobodeLaNieve,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Vietnamese,FALSE,39178,NA,3,0,1,LobodeLaNieve
AeJVK,Lyx,LobodeLaNieve,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Incas,FALSE,46255,NA,4,0,1,EMA_003
AeJVK,Lyx,LobodeLaNieve,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Aztecs,FALSE,47842,NA,5,0,1,EMA_003
AeJVK,Lyx,LobodeLaNieve,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Chinese,FALSE,62089,NA,6,0,1,LobodeLaNieve
AeJVK,Lyx,LobodeLaNieve,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Turks,FALSE,69647,NA,1,1,0,LobodeLaNieve
AeJVK,Lyx,LobodeLaNieve,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Japanese,FALSE,87251,NA,2,1,0,EMA_003
AeJVK,Lyx,LobodeLaNieve,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Persians,FALSE,91740,NA,3,0,0,LobodeLaNieve
AeJVK,Lyx,LobodeLaNieve,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Cumans,FALSE,104149,NA,4,0,0,EMA_003
AeJVK,Lyx,LobodeLaNieve,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Mongols,FALSE,107005,NA,5,0,0,EMA_003
AeJVK,Lyx,LobodeLaNieve,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Malians,FALSE,125414,NA,6,0,0,LobodeLaNieve
AeJVK,Lyx,LobodeLaNieve,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Berbers,FALSE,126119,NA,7,0,0,LobodeLaNieve
AeJVK,Lyx,LobodeLaNieve,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Portuguese,FALSE,152129,NA,8,0,0,EMA_003
AqYRC,Sitaux,Salted Pepega,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Aztecs,FALSE,13780,NA,1,0,1,Sitaux
AqYRC,Sitaux,Salted Pepega,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Mayans,FALSE,31005,NA,2,0,1,Salted Pepper
AqYRC,Sitaux,Salted Pepega,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Persians,FALSE,56421,NA,3,0,1,Salted Pepper
AqYRC,Sitaux,Salted Pepega,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Bohemians,FALSE,61043,NA,4,0,1,Sitaux
AqYRC,Sitaux,Salted Pepega,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Cumans,FALSE,65498,NA,5,0,1,Sitaux
AqYRC,Sitaux,Salted Pepega,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Incas,FALSE,73785,NA,6,0,1,Salted Pepper
AqYRC,Sitaux,Salted Pepega,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Chinese,FALSE,76507,NA,1,1,0,Sitaux
AqYRC,Sitaux,Salted Pepega,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Japanese,FALSE,102043,NA,2,1,0,Salted Pepper
AqYRC,Sitaux,Salted Pepega,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Khmer,FALSE,131715,NA,3,0,0,Salted Pepper
AqYRC,Sitaux,Salted Pepega,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Malians,FALSE,159175,NA,4,0,0,Sitaux
AqYRC,Sitaux,Salted Pepega,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Hindustanis,FALSE,188714,NA,5,0,0,Sitaux
AqYRC,Sitaux,Salted Pepega,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Portuguese,FALSE,197697,NA,6,0,0,Salted Pepper
AqYRC,Sitaux,Salted Pepega,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Vietnamese,FALSE,226020,NA,7,0,0,Salted Pepper
AqYRC,Sitaux,Salted Pepega,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Burgundians,FALSE,257163,NA,8,0,0,Sitaux
ARTgb,Whocl,Monoz,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Japanese,FALSE,5168,NA,1,0,1,Whocl
ARTgb,Whocl,Monoz,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Lithuanians,FALSE,26207,NA,2,0,1,Monoz
ARTgb,Whocl,Monoz,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Khmer,FALSE,29790,NA,3,0,1,Monoz
ARTgb,Whocl,Monoz,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Persians,FALSE,37317,NA,4,0,1,Whocl
ARTgb,Whocl,Monoz,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Mayans,FALSE,50146,NA,5,0,1,Whocl
ARTgb,Whocl,Monoz,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Franks,FALSE,75969,NA,6,0,1,Monoz
ARTgb,Whocl,Monoz,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Chinese,FALSE,80114,NA,1,1,0,Whocl
ARTgb,Whocl,Monoz,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Georgians,FALSE,81537,NA,2,1,0,Monoz
ARTgb,Whocl,Monoz,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Malians,FALSE,93101,NA,3,0,0,Monoz
ARTgb,Whocl,Monoz,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Armenians,FALSE,107736,NA,4,0,0,Whocl
ARTgb,Whocl,Monoz,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Hindustanis,FALSE,119093,NA,5,0,0,Whocl
ARTgb,Whocl,Monoz,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Vietnamese,FALSE,149454,NA,6,0,0,Monoz
ARTgb,Whocl,Monoz,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Saracens,FALSE,159302,NA,7,0,0,Monoz
ARTgb,Whocl,Monoz,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Cumans,FALSE,182786,NA,8,0,0,Whocl
biGJQ,Foxus.Darkius,Somerius,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Armenians,FALSE,6779,NA,1,0,1,Dark
biGJQ,Foxus.Darkius,Somerius,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Persians,FALSE,29885,NA,2,0,1,Somero
biGJQ,Foxus.Darkius,Somerius,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Portuguese,FALSE,42601,NA,3,0,1,Somero
biGJQ,Foxus.Darkius,Somerius,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Chinese,FALSE,68327,NA,4,0,1,Dark
biGJQ,Foxus.Darkius,Somerius,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Georgians,FALSE,70821,NA,5,0,1,Dark
biGJQ,Foxus.Darkius,Somerius,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Khmer,FALSE,98619,NA,6,0,1,Somero
biGJQ,Foxus.Darkius,Somerius,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Japanese,FALSE,100878,NA,1,1,0,Dark
biGJQ,Foxus.Darkius,Somerius,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Italians,FALSE,107391,NA,2,1,0,Somero
biGJQ,Foxus.Darkius,Somerius,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Byzantines,FALSE,134300,NA,3,0,0,Somero
biGJQ,Foxus.Darkius,Somerius,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Vikings,FALSE,160657,NA,4,0,0,Dark
biGJQ,Foxus.Darkius,Somerius,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Dravidians,FALSE,185468,NA,5,0,0,Dark
biGJQ,Foxus.Darkius,Somerius,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Malay,FALSE,208198,NA,6,0,0,Somero
