"id","Game","Player","Opponent","Map_Draft","Civ_Draft","Player_Civ","Opp_Civ","Winner","Loser","Map","Time","updated","Winning_Civ","Losing_Civ","Stage"
1,1,"TaToH","Terz","FTHZS","lpIJy","Bohemians","Mongols","TaToH","Terz","Quarry",2024-01-23 19:00:00,"2024-02-09 09:09:47","Bohemians","Mongols","Qualifier"
1,2,"TaToH","Terz","FTHZS","lpIJy","Poles","Georgians","Terz","TaToH","Gold Rush",2024-01-23 19:00:00,"2024-02-09 09:09:47","Georgians","Poles","Qualifier"
1,3,"TaToH","Terz","FTHZS","lpIJy","Hindustanis","Incas","TaToH","Terz","Slopes",2024-01-23 19:00:00,"2024-02-09 09:09:47","Hindustanis","Incas","Qualifier"
2,1,"deaKer","Sora kuma","cMdvB","lhxot","Malay","Incas","deaKer","Sora kuma","Quarry",2024-01-23 23:00:00,"2024-02-09 09:09:47","Malay","Incas","Qualifier"
2,2,"deaKer","Sora kuma","cMdvB","lhxot","Byzantines","Persians","Sora kuma","deaKer","Cross",2024-01-23 23:00:00,"2024-02-09 09:09:47","Persians","Byzantines","Qualifier"
2,3,"deaKer","Sora kuma","cMdvB","lhxot","Mongols","Bohemians","Sora kuma","deaKer","Gold Rush",2024-01-23 23:00:00,"2024-02-09 09:09:47","Bohemians","Mongols","Qualifier"
3,1,"F1Re","Rubenstock","qCIQA","HKvRH","Byzantines","Persians","F1Re","Rubenstock","Islands",2024-01-25 20:00:00,"2024-02-09 09:09:47","Byzantines","Persians","Qualifier"
3,2,"F1Re","Rubenstock","qCIQA","HKvRH","Incas","Celts","F1Re","Rubenstock","Gold Rush",2024-01-25 20:00:00,"2024-02-09 09:09:47","Incas","Celts","Qualifier"
4,1,"DracKeN","TeMo","HJiSc","isgPP","Goths","Saracens","DracKeN","TeMo","Quarry",2024-01-26 15:00:00,"2024-02-09 09:09:47","Goths","Saracens","Qualifier"
4,2,"DracKeN","TeMo","HJiSc","isgPP","Chinese","Khmer","DracKeN","TeMo","Mudflow",2024-01-26 15:00:00,"2024-02-09 09:09:47","Chinese","Khmer","Qualifier"
5,1,"Vivi","Rayz","HpIyI","GxOyP","Bohemians","Cumans","Vivi","Rayz","Quarry",2024-01-24 14:00:00,"2024-02-09 09:09:47","Bohemians","Cumans","Qualifier"
5,2,"Vivi","Rayz","HpIyI","GxOyP","Portuguese","Sicilians","Vivi","Rayz","Islands",2024-01-24 14:00:00,"2024-02-09 09:09:47","Portuguese","Sicilians","Qualifier"
6,1,"Kasva","Target331","IWqeT","cnQGV","Malians","Slavs","Kasva","Target331","Slopes",2024-01-26 11:00:00,"2024-02-09 09:09:47","Malians","Slavs","Qualifier"
6,2,"Kasva","Target331","IWqeT","cnQGV","Saracens","Armenians","Target331","Kasva","Islands",2024-01-26 11:00:00,"2024-02-09 09:09:47","Armenians","Saracens","Qualifier"
6,3,"Kasva","Target331","IWqeT","cnQGV","Malay","Persians","Kasva","Target331","Cross",2024-01-26 11:00:00,"2024-02-09 09:09:47","Malay","Persians","Qualifier"
7,1,"Hearttt","Kongen_42","UGqsU","PmmXA","Magyars","Malians","Hearttt","Kongen_42","Mudflow",2024-01-26 18:00:00,"2024-02-09 09:09:47","Magyars","Malians","Qualifier"
7,2,"Hearttt","Kongen_42","UGqsU","PmmXA","Byzantines","Japanese","Hearttt","Kongen_42","Cross",2024-01-26 18:00:00,"2024-02-09 09:09:47","Byzantines","Japanese","Qualifier"
8,1,"Dr.Kozmonot","gkt_cloud","GMcUq","rPpOP","Hindustanis","Incas","Dr.Kozmonot","gkt_cloud","Arabia",2024-01-26 16:00:00,"2024-02-09 09:09:47","Hindustanis","Incas","Qualifier"
8,2,"Dr.Kozmonot","gkt_cloud","GMcUq","rPpOP","Magyars","Romans","Dr.Kozmonot","gkt_cloud","Mudflow",2024-01-26 16:00:00,"2024-02-09 09:09:47","Magyars","Romans","Qualifier"
9,1,"TaToH","Sora kuma","xuJjY","CuZfP","Byzantines","Armenians","TaToH","Sora kuma","Islands",2024-01-31 12:00:00,"2024-02-09 09:09:47","Byzantines","Armenians","Qualifier"
9,2,"TaToH","Sora kuma","xuJjY","CuZfP","Hindustanis","Persians","TaToH","Sora kuma","Arabia",2024-01-31 12:00:00,"2024-02-09 09:09:47","Hindustanis","Persians","Qualifier"
9,3,"TaToH","Sora kuma","xuJjY","CuZfP","Chinese","Chinese","TaToH","Sora kuma","Mudflow",2024-01-31 12:00:00,"2024-02-09 09:09:47","Chinese","Chinese","Qualifier"
10,1,"F1Re","DracKeN","ckJPr","NkkTE","Chinese","Franks","F1Re","DracKeN","Mudflow",2024-01-30 20:00:30,"2024-02-09 09:09:47","Chinese","Franks","Qualifier"
10,2,"F1Re","DracKeN","ckJPr","NkkTE","Italians","Dravidians","F1Re","DracKeN","Islands",2024-01-30 20:00:30,"2024-02-09 09:09:47","Italians","Dravidians","Qualifier"
10,3,"F1Re","DracKeN","ckJPr","NkkTE","Georgians","Cumans","DracKeN","F1Re","Gold Rush",2024-01-30 20:00:30,"2024-02-09 09:09:47","Cumans","Georgians","Qualifier"
10,4,"F1Re","DracKeN","ckJPr","NkkTE","Incas","Chinese","F1Re","DracKeN","Arabia",2024-01-30 20:00:30,"2024-02-09 09:09:47","Incas","Chinese","Qualifier"
11,1,"Vivi","Kasva","Wnetc","rjTws","Hindustanis","Mayans","Vivi","Kasva","Arabia",2024-01-30 14:00:20,"2024-02-09 09:09:47","Hindustanis","Mayans","Qualifier"
11,2,"Vivi","Kasva","Wnetc","rjTws","Magyars","Chinese","Kasva","Vivi","Mudflow",2024-01-30 14:00:20,"2024-02-09 09:09:47","Chinese","Magyars","Qualifier"
11,3,"Vivi","Kasva","Wnetc","rjTws","Japanese","Malians","Vivi","Kasva","Cross",2024-01-30 14:00:20,"2024-02-09 09:09:47","Japanese","Malians","Qualifier"
11,4,"Vivi","Kasva","Wnetc","rjTws","Slavs","Lithuanians","Vivi","Kasva","Slopes",2024-01-30 14:00:20,"2024-02-09 09:09:47","Slavs","Lithuanians","Qualifier"
12,1,"Hearttt","Dr.Kozmonot","kZVUF","oaKOu","Malay","Georgians","Hearttt","Dr.Kozmonot","Quarry",2024-01-31 19:00:00,"2024-02-09 09:09:47","Malay","Georgians","Qualifier"
12,2,"Hearttt","Dr.Kozmonot","kZVUF","oaKOu","Byzantines","Malians","Hearttt","Dr.Kozmonot","Cross",2024-01-31 19:00:00,"2024-02-09 09:09:47","Byzantines","Malians","Qualifier"
12,3,"Hearttt","Dr.Kozmonot","kZVUF","oaKOu","Berbers","Incas","Hearttt","Dr.Kozmonot","Slopes",2024-01-31 19:00:00,"2024-02-09 09:09:47","Berbers","Incas","Qualifier"
13,1,"TaToH","F1Re","EqUTG","wOiWr","Mongols","Magyars","TaToH","F1Re","Slopes",2024-02-05 14:00:30,"2024-02-09 09:09:47","Mongols","Magyars","Qualifier"
13,2,"TaToH","F1Re","EqUTG","wOiWr","Japanese","Persians","TaToH","F1Re","Cross",2024-02-05 14:00:30,"2024-02-09 09:09:47","Japanese","Persians","Qualifier"
13,3,"TaToH","F1Re","EqUTG","wOiWr","Hindustanis","Malians","TaToH","F1Re","Arabia",2024-02-05 14:00:30,"2024-02-09 09:09:47","Hindustanis","Malians","Qualifier"
14,1,"Vivi","Hearttt","LNiKT","pyJPE","Bohemians","Hindustanis","Hearttt","Vivi","Slopes",2024-02-05 15:00:00,"2024-02-09 09:09:47","Hindustanis","Bohemians","Qualifier"
14,2,"Vivi","Hearttt","LNiKT","pyJPE","Georgians","Malay","Hearttt","Vivi","Gold Rush",2024-02-05 15:00:00,"2024-02-09 09:09:47","Malay","Georgians","Qualifier"
14,3,"Vivi","Hearttt","LNiKT","pyJPE","Teutons","Franks","Hearttt","Vivi","Mudflow",2024-02-05 15:00:00,"2024-02-09 09:09:47","Franks","Teutons","Qualifier"
15,NA,"TaToH","Hearttt",NA,NA,NA,NA,NA,NA,NA,2024-02-10 14:00:00,"2024-02-09 09:09:47",NA,NA,"Qualifier"
16,1,"Vinchester","CHELOOO","hibZQ","vAaTj","Romans","Mongols","Vinchester","CHELOOO","Arabia",2024-01-22 14:00:00,"2024-02-09 09:09:47","Romans","Mongols","Qualifier"
16,2,"Vinchester","CHELOOO","hibZQ","vAaTj","Armenians","Armenians","Vinchester","CHELOOO","Islands",2024-01-22 14:00:00,"2024-02-09 09:09:47","Armenians","Armenians","Qualifier"
17,1,"Nahuel05","Ming","mqrcD","zlHrS","Mongols","Romans","Ming","Nahuel05","Arabia",2024-01-26 15:00:00,"2024-02-09 09:09:47","Romans","Mongols","Qualifier"
17,2,"Nahuel05","Ming","mqrcD","zlHrS","Japanese","Georgians","Ming","Nahuel05","Mudflow",2024-01-26 15:00:00,"2024-02-09 09:09:47","Georgians","Japanese","Qualifier"
18,1,"Dark","Somero","qtkox","biGJQ","Dravidians","Italians","Dark","Somero","Islands",2024-01-22 18:00:00,"2024-02-09 09:09:47","Dravidians","Italians","Qualifier"
18,2,"Dark","Somero","qtkox","biGJQ","Japanese","Byzantines","Dark","Somero","Cross",2024-01-22 18:00:00,"2024-02-09 09:09:47","Japanese","Byzantines","Qualifier"
19,1,"The_Dragonstar","Dratek","LRxwV","JZOjp","Japanese","Lithuanians","The_Dragonstar","Dratek","Cross",2024-01-26 17:00:00,"2024-02-09 09:09:47","Japanese","Lithuanians","Qualifier"
19,2,"The_Dragonstar","Dratek","LRxwV","JZOjp","Persians","Italians","Dratek","The_Dragonstar","Islands",2024-01-26 17:00:00,"2024-02-09 09:09:47","Italians","Persians","Qualifier"
19,3,"The_Dragonstar","Dratek","LRxwV","JZOjp","Khmer","Hindustanis","The_Dragonstar","Dratek","Mudflow",2024-01-26 17:00:00,"2024-02-09 09:09:47","Khmer","Hindustanis","Qualifier"
20,1,"Margougou","Ny4JyN","rVKFA","mxXUY","Japanese","Lithuanians","Ny4JyN","Margougou","Cross",2024-01-23 15:00:00,"2024-02-09 09:09:47","Lithuanians","Japanese","Qualifier"
20,2,"Margougou","Ny4JyN","rVKFA","mxXUY","Khmer","Georgians","Margougou","Ny4JyN","Mudflow",2024-01-23 15:00:00,"2024-02-09 09:09:47","Khmer","Georgians","Qualifier"
20,3,"Margougou","Ny4JyN","rVKFA","mxXUY","Armenians","Vikings","Margougou","Ny4JyN","Islands",2024-01-23 15:00:00,"2024-02-09 09:09:47","Armenians","Vikings","Qualifier"
